Tiempo en segundos: 0.7756948471
Posiciones finales de los cuerpos:
Cuerpo 97: px=-2.605352, py=0.250057, pz=0.324850
Cuerpo 98: px=0.946166, py=-0.916493, pz=-0.815839
Cuerpo 99: px=0.363269, py=-0.419117, pz=-0.200046
Cuerpo 100: px=-0.597730, py=0.409462, pz=0.051639
Cuerpo 101: px=2.263822, py=2.003858, pz=-2.195245
Cuerpo 102: px=-6.435389, py=-6.758304, pz=-0.676687
Cuerpo 103: px=-52.390427, py=20.689232, pz=-10.511280
Cuerpo 104: px=-4.573430, py=-3.723226, pz=1.903442
Cuerpo 105: px=-24.431437, py=4.655120, pz=-9.773039
Cuerpo 106: px=0.092202, py=0.166655, pz=0.655587
Cuerpo 107: px=7.632057, py=2.234383, pz=7.178745
Cuerpo 108: px=1.300322, py=-0.948854, pz=0.991052
Cuerpo 109: px=18.608847, py=6.855660, pz=-4.123516
Cuerpo 110: px=4.243925, py=1.309370, pz=0.060866
Cuerpo 111: px=-2.908239, py=1.254150, pz=-0.832470
Cuerpo 112: px=0.427309, py=0.079420, pz=0.599052
Cuerpo 113: px=-5.825663, py=2.193869, pz=-0.444050
Cuerpo 114: px=-0.455692, py=1.124185, pz=0.006381
Cuerpo 115: px=0.570352, py=11.224007, pz=0.627089
Cuerpo 116: px=-0.380843, py=1.055341, pz=0.089239
Cuerpo 117: px=-1.834952, py=-0.668242, pz=-0.126694
Cuerpo 118: px=-1.693986, py=5.024456, pz=-0.964351
Cuerpo 119: px=5.637627, py=4.517470, pz=0.048536
Cuerpo 120: px=1.420417, py=0.936797, pz=-0.430324
Cuerpo 121: px=-6.934487, py=1.232403, pz=2.283835
Cuerpo 122: px=-1.324251, py=0.856494, pz=0.012294
Cuerpo 123: px=2.462183, py=4.294037, pz=1.895136
Cuerpo 124: px=-43.615925, py=-46.903847, pz=-6.409097
Cuerpo 125: px=-28.967857, py=-1.564701, pz=1.791668
Cuerpo 126: px=4.013885, py=14.377406, pz=-2.034364
Cuerpo 127: px=-3.021122, py=4.832407, pz=5.627700
Cuerpo 128: px=-0.160992, py=0.912171, pz=-0.469325
Cuerpo 129: px=-0.091812, py=1.073122, pz=-0.573705
Cuerpo 130: px=-0.007344, py=1.284158, pz=-0.672712
Cuerpo 131: px=0.065718, py=1.513874, pz=-0.726563
Cuerpo 132: px=0.140318, py=1.799203, pz=-0.717650
Cuerpo 133: px=0.199045, py=2.033343, pz=-0.648763
Cuerpo 134: px=0.237772, py=2.183182, pz=-0.562305
Cuerpo 135: px=0.275171, py=2.330252, pz=-0.398080
Cuerpo 136: px=0.300877, py=2.427788, pz=-0.188316
Cuerpo 137: px=-0.372211, py=2.412520, pz=-0.040157
Cuerpo 138: px=-0.376224, py=2.381320, pz=0.191495
